Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
465,6,0.1275,"법, 민주, 박",627cdd4d7f98dd6342b32616,"민주, 검수완박 입법 내일 완료 계획… 靑에 국무회의 연기 요청도 ",2022-05-02
147,6,0.124,"법, 민주, 박",627cdd4d7f98dd6342b32348,"대법, 검수완박 13개 조항 조목조목 지적… “경찰의 부실-소극수사 견제할 장치 부족” ",2022-04-20
1062,6,0.1128,"법, 민주, 박",627cdd4d7f98dd6342b32c2c,"한동훈 “검수완박법, 국민 우려 커” vs 민주 “싸우자는 건가” ",2022-05-10
196,6,0.1011,"법, 민주, 박",627cdd4d7f98dd6342b3239e,"민주 “검수완박, 돌이킬수 없는 길로” 인수위 “입법 쿠데타” ",2022-04-20
203,6,0.1005,"법, 민주, 박",627cdd4d7f98dd6342b323a6,캐스팅보트 쥔 정의당 “검수완박 시행 1년 유예를” ,2022-04-21
636,6,0.0989,"법, 민주, 박",627cdd4d7f98dd6342b327b1,OECD “검수완박 입법땐 한국 부패수사 역량 약화” ,2022-04-27
825,6,0.0977,"법, 민주, 박",627cdd4d7f98dd6342b329ce,"文, 마지막 국무회의 시간 늦추며 ‘검수완박’ 직접 공포 ",2022-05-04
832,6,0.0969,"법, 민주, 박",627cdd4d7f98dd6342b329e0,인수위 “검경 수사권 정리해야”… 검수완박법 재검토 시사 ,2022-05-04
217,6,0.0939,"법, 민주, 박",627cdd4d7f98dd6342b323c8,"합당선언 다음날… 권은희 검수완박 동조, 국힘 반발 ",2022-04-20
2604,6,0.0936,"법, 민주, 박",627cdd4d7f98dd6342b33959,‘검수완박’ 입법 돌입한 민주당…열쇠 쥔 박병석 의장에 공 들이기,2022-04-18
29,6,0.0894,"법, 민주, 박",627cdd4d7f98dd6342b3226c,"김오수, 5가지 대안 들고 국회 갔지만… 민주, 검수완박 조문 심사 ",2022-04-20
917,6,0.082,"법, 민주, 박",627cdd4d7f98dd6342b32acd,‘검수완박’ 갑론을박 속 헌법소원 주요 쟁점은? ,2022-05-05
