Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
1825,8,0.1453,"인수위, 논란, 확정",627cdd4d7f98dd6342b33341,"인수위, 손실보상 ‘차등지급’ 논란에 “300만원~1천만원 이상 지급”",2022-04-29
1741,8,0.1453,"인수위, 논란, 확정",627cdd4d7f98dd6342b33292,"인수위, 손실보상 ‘차등지급’ 논란에 “300만원~1천만원 이상 지급”",2022-04-29
1838,8,0.1169,"인수위, 논란, 확정",627cdd4d7f98dd6342b33355,600만원씩 일괄지급 한다더니…인수위 “손실보상금 차등 지급”,2022-04-28
2789,8,0.0936,"인수위, 논란, 확정",627cdd4d7f98dd6342b33ac3,오늘 새 정부 첫 당정협의… 코로나 손실보상 추경 논의,2022-05-11
1721,8,0.0846,"인수위, 논란, 확정",627cdd4d7f98dd6342b3326b,"코로나 손실보상·부동산…인수위, 갈팡질팡하거나 재탕이거나",2022-05-01
2760,8,0.082,"인수위, 논란, 확정",627cdd4d7f98dd6342b33a83,[사설] ‘자영업 2차 추경’ 미루다 선거 코앞에 확정한 여당,2022-05-11
1220,8,0.082,"인수위, 논란, 확정",627cdd4d7f98dd6342b32d9a,[사설] ‘자영업 2차 추경’ 미루다 선거 코앞에 확정한 여당,2022-05-11
754,8,0.0805,"인수위, 논란, 확정",627cdd4d7f98dd6342b32910,"인수위, 551만 소상공인 등에 최대 600만원 차등지급 검토 ",2022-04-29
1797,8,0.0805,"인수위, 논란, 확정",627cdd4d7f98dd6342b3330c,중소상인·자영업자들 “대선 공약 파기…손실보상 소급적용하라”,2022-04-29
1684,8,0.0791,"인수위, 논란, 확정",627cdd4d7f98dd6342b33201,제주4·3 희생자 보상금 지급 기준 확정…올해 2100명 보상,2022-05-02
1461,8,0.0785,"인수위, 논란, 확정",627cdd4d7f98dd6342b32fd6,"당정, 손실보전 ‘최소 600만원’…민주 “53조 세수 철저히 따질 것”",2022-05-11
2831,8,0.0785,"인수위, 논란, 확정",627cdd4d7f98dd6342b33b42,"당정, 손실보전 ‘최소 600만원’…민주 “53조 세수 철저히 따질 것”",2022-05-11
1227,8,0.0771,"인수위, 논란, 확정",627cdd4d7f98dd6342b32da8,"추경호 “코로나 손실보상, 두터운 지원안 마련”",2022-05-11
1856,8,0.0764,"인수위, 논란, 확정",627cdd4d7f98dd6342b3337f,"안철수, ‘과학 방역·손실 추계’ 외치며 ‘차등 지급’…소상공인 거센 반발",2022-04-29
2732,8,0.0757,"인수위, 논란, 확정",627cdd4d7f98dd6342b33a4e,선거 앞 ‘손실보전 600만원’ 확정…소상공인 반발에 선회,2022-05-11
1167,8,0.0757,"인수위, 논란, 확정",627cdd4d7f98dd6342b32d23,선거 앞 ‘손실보전 600만원’ 확정…소상공인 반발에 선회,2022-05-11
2761,8,0.0751,"인수위, 논란, 확정",627cdd4d7f98dd6342b33a88,"추경호 “코로나 손실보상, 두터운 지원안 마련”",2022-05-11
1028,8,0.0732,"인수위, 논란, 확정",627cdd4d7f98dd6342b32be2,尹정부 첫 추경 이번주 후반 발표… ‘소상공인 손실보상’ 35조원 안팎 될 듯 ,2022-05-09
400,8,0.0726,"인수위, 논란, 확정",627cdd4d7f98dd6342b3257c,"인수위, 원전 18기 수명연장 추진… “文정부 탈원전 정책 정상화” ",2022-04-21
2455,8,0.0718,"인수위, 논란, 확정",627cdd4d7f98dd6342b33891,"민주당, ‘부동산 논란’ 노영민 충북지사 단수공천 확정",2022-04-19
2819,8,0.0647,"인수위, 논란, 확정",627cdd4d7f98dd6342b33b28,"당정, 소상공인·자영업자 370만명에 ‘600만원+α’ 지급 합의",2022-05-11
1417,8,0.0647,"인수위, 논란, 확정",627cdd4d7f98dd6342b32f76,"당정, 소상공인·자영업자 370만명에 ‘600만원+α’ 지급 합의",2022-05-11
1866,8,0.0635,"인수위, 논란, 확정",627cdd4d7f98dd6342b33395,"[사설] 자영업 50조 지원, 또 ‘희망고문’만 한 인수위",2022-04-28
2461,8,0.0626,"인수위, 논란, 확정",627cdd4d7f98dd6342b33898,"“동원산업, 지주사 합병비율 왜곡”…경영권 승계 포석 불공정 논란",2022-04-19
359,8,0.0614,"인수위, 논란, 확정",627cdd4d7f98dd6342b3251c,"“도시철도 법정 무임승차 손실, 국비로 보전해야” ",2022-04-19
659,8,0.0603,"인수위, 논란, 확정",627cdd4d7f98dd6342b32804,지속가능 ESG 경영 위한 체질 개선 나서 ,2022-04-25
2541,8,0.0592,"인수위, 논란, 확정",627cdd4d7f98dd6342b338f4,인수위 “광주 화정아이파크 붕괴사고 철저한 조사·보상 약속”,2022-04-19
842,8,0.0583,"인수위, 논란, 확정",627cdd4d7f98dd6342b329fb,"[경제계 단신]CJ푸드빌, 탄소중립 등 ‘ESG 경영’ 선포식 ",2022-05-03
855,8,0.0583,"인수위, 논란, 확정",627cdd4d7f98dd6342b32a22,"SK, 세계산림총회서 50년 조림사업 등 ESG 경영 소개 ",2022-05-03
