Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
1598,5,0.1242,"정호영, 의혹, 딸",627cdd4d7f98dd6342b33122,[단독] 한동훈 딸도 ‘부모 찬스’로 대학진학용 ‘기부 스펙’ 의혹,2022-05-04
2643,5,0.1149,"정호영, 의혹, 딸",627cdd4d7f98dd6342b339ad,"[단독] 정호영 논문 공저자들, 정 아들·딸 편입면접서 ‘최고점’ 퍼줬다",2022-04-18
698,5,0.1148,"정호영, 의혹, 딸",627cdd4d7f98dd6342b3286f,"정호영 아들, 이공계 육성장학금 받고 의대 편입 ",2022-04-27
1116,5,0.1148,"정호영, 의혹, 딸",627cdd4d7f98dd6342b32cb1,"[단독]정호영 논문 공저자들, 딸 의대 편입 구술평가 만점 줘 ",2022-04-16
911,5,0.107,"정호영, 의혹, 딸",627cdd4d7f98dd6342b32abf,[사설]‘장학금·논문’ 논란 김인철 사퇴… 부실 검증 이걸로 끝인가 ,2022-05-04
1,5,0.1049,"정호영, 의혹, 딸",627cdd4d7f98dd6342b3222e,"[단독]정호영 논문 공저자들, 딸 의대 편입 구술평가 만점 줘 ",2022-04-16
1484,5,0.1032,"정호영, 의혹, 딸",627cdd4d7f98dd6342b3300f,한동훈 딸 스펙 의혹·수사권 분리…청문회 ‘난타전’ 예고,2022-05-09
951,5,0.1017,"정호영, 의혹, 딸",627cdd4d7f98dd6342b32b29,"민주 “한동훈 딸 高1때 논문 6편, 부모 찬스”…韓 “에세이 등 학교과제 업로드, 왜곡 과장” ",2022-05-06
1345,5,0.1005,"정호영, 의혹, 딸",627cdd4d7f98dd6342b32ec8,"한동훈 딸 ‘대필 의혹’ 논문, 왜 약탈 학술지에 게재했나",2022-05-08
268,5,0.0985,"정호영, 의혹, 딸",627cdd4d7f98dd6342b32440,"[단독]편입 1단계 탈락했던 정호영 아들, 같은 스펙으로 이듬해 합격 ",2022-04-19
1174,5,0.0967,"정호영, 의혹, 딸",627cdd4d7f98dd6342b32d3b,"고교생 논문, 한동훈 딸 같은 ‘약탈적 학술지’ 게재율 증가 왜",2022-05-09
2497,5,0.0967,"정호영, 의혹, 딸",627cdd4d7f98dd6342b338c5,"정호영 자녀 의대 편입 면접, ‘이름만 블라인드’였나",2022-04-19
1335,5,0.0964,"정호영, 의혹, 딸",627cdd4d7f98dd6342b32ea8,한동훈 “딸 입시 컨설팅 없다”…해명과 다른 ‘맞춤 스펙 쌓기’ 정황,2022-05-06
2256,5,0.0964,"정호영, 의혹, 딸",627cdd4d7f98dd6342b3372a,"[단독] 아들·딸 편입 당시 입학처장, 정호영과 동문회 임원 같이 맡았다",2022-04-21
2452,5,0.0952,"정호영, 의혹, 딸",627cdd4d7f98dd6342b3388d,국회 인턴에 아빠 로펌·제약회사 체험…이상민 딸도 아빠찬스?,2022-04-19
2615,5,0.0952,"정호영, 의혹, 딸",627cdd4d7f98dd6342b33976,"속타는 국민의힘, ‘아빠 찬스’ 의혹 정호영 거취 표명 공개 압박",2022-04-18
1588,5,0.095,"정호영, 의혹, 딸",627cdd4d7f98dd6342b3310d,‘온 가족 장학금’에서 ‘방석집 논문심사’까지…김인철 사퇴에 “사필귀정”,2022-05-03
2296,5,0.095,"정호영, 의혹, 딸",627cdd4d7f98dd6342b3377e,[뉴스AS] ‘아빠 찬스’에 법인카드 부적절 사용까지…정호영 의혹 총정리,2022-04-21
2137,5,0.095,"정호영, 의혹, 딸",627cdd4d7f98dd6342b3363c,"[뉴스AS] ‘1억 사외이사’, 딸 특혜 장학금 의혹까지…김인철 총정리",2022-04-25
66,5,0.0947,"정호영, 의혹, 딸",627cdd4d7f98dd6342b322b5,[단독]정호영 딸 이어 아들에도 논문 공저 교수가 최고점 ,2022-04-18
1807,5,0.0947,"정호영, 의혹, 딸",627cdd4d7f98dd6342b3331e,"[사설] 입시·병역 ‘아빠 찬스’ 정호영, 청문회 전 물러나는 게 순리다",2022-04-29
2603,5,0.0936,"정호영, 의혹, 딸",627cdd4d7f98dd6342b33958,이상민 후보자 사외이사 회사에 아들 입사…‘아빠 찬스’ 의혹 또 도마,2022-04-18
2622,5,0.0936,"정호영, 의혹, 딸",627cdd4d7f98dd6342b3397f,"안철수, 정호영 ‘아빠 찬스’ 논란에 “국민 의혹 없게 진실 가려야”",2022-04-18
1835,5,0.0926,"정호영, 의혹, 딸",627cdd4d7f98dd6342b33352,"[사설] 입시·병역 ‘아빠 찬스’ 정호영, 청문회 전 물러나는 게 순리다",2022-04-29
2450,5,0.0913,"정호영, 의혹, 딸",627cdd4d7f98dd6342b33889,"정호영 아들 의대 편입 특별전형, 대구시 요청 18일 만에 만들었다",2022-04-19
1949,5,0.091,"정호영, 의혹, 딸",627cdd4d7f98dd6342b3346b,"[단독] 정호영 딸 편입 때, 9개 국립대 의대 중 경북대만 ‘구술면접’",2022-04-27
451,5,0.0836,"정호영, 의혹, 딸",627cdd4d7f98dd6342b325ff,[사설]‘고구마 줄기’ 김인철·정호영 의혹… 公人의식이란 게 있나 ,2022-04-27
1310,5,0.082,"정호영, 의혹, 딸",627cdd4d7f98dd6342b32e61,[사설] ‘변칙적 스펙쌓기’ 의혹에 당당한 한동훈식 공정·상식,2022-05-08
2559,5,0.0816,"정호영, 의혹, 딸",627cdd4d7f98dd6342b33909,아빠찬스에 임대왕까지…‘윤석열 정부’ 첫 내각 ‘고장난 검증’,2022-04-19
2048,5,0.0805,"정호영, 의혹, 딸",627cdd4d7f98dd6342b33574,김인철 아들까지 ‘온가족 4명’이 풀브라이트 장학금 받았다,2022-04-26
2649,5,0.0805,"정호영, 의혹, 딸",627cdd4d7f98dd6342b339b3,정호영 자녀 의혹에 둔감…윤석열의 ‘구부러진 공정’,2022-04-17
1548,5,0.0805,"정호영, 의혹, 딸",627cdd4d7f98dd6342b330a0,"[단독] 한동훈 딸, 고1때 두달간 논문 5개·전자책 4권 썼다",2022-05-04
305,5,0.08,"정호영, 의혹, 딸",627cdd4d7f98dd6342b32499,“편법 동원 의혹” 의료계서도 정호영 사퇴 촉구 ,2022-04-19
2064,5,0.0791,"정호영, 의혹, 딸",627cdd4d7f98dd6342b3359f,"[단독] 김인철 딸, 미국 3차례 체류하고도 풀브라이트 장학금 받았다",2022-04-25
1339,5,0.0785,"정호영, 의혹, 딸",627cdd4d7f98dd6342b32eb3,[단독] 사촌과 딱 겹친 한동훈 딸 ‘스펙’…입시업체 이모 개입 없다더니,2022-05-07
364,5,0.0779,"정호영, 의혹, 딸",627cdd4d7f98dd6342b32523,"이상민, 자녀 진학용 위장전입 의혹 “주소지와 사는 곳 달랐던 점 송구” ",2022-04-20
2039,5,0.0777,"정호영, 의혹, 딸",627cdd4d7f98dd6342b3355f,[단독] 김인철 딸·아들 풀브라이트 장학 선발 때 ‘동문회’ 출신 참여,2022-04-26
