Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
1525,25,0.1029,"검사, 사건, 손",627cdd4d7f98dd6342b33062,"‘서울시 간첩조작 사건’ 징계받은 검사, 공직기강비서관으로",2022-05-05
1512,25,0.0967,"검사, 사건, 손",627cdd4d7f98dd6342b33046,"‘유우성 간첩 조작 사건’ 이시원 검사, 공직기강비서관에",2022-05-05
2386,25,0.0805,"검사, 사건, 손",627cdd4d7f98dd6342b3382f,“왜 모욕 주나? 경찰이 99% 사건 맡을 때 검사는 1%만 골라해”,2022-04-20
1706,25,0.0805,"검사, 사건, 손",627cdd4d7f98dd6342b33248,은행 ‘횡령 사건’ 해마다 18건 발생했다,2022-05-01
1506,25,0.0805,"검사, 사건, 손",627cdd4d7f98dd6342b3303b,‘간첩 조작’ 연루 검사가 공직기강비서관…공정·상식 맞나,2022-05-05
1842,25,0.0744,"검사, 사건, 손",627cdd4d7f98dd6342b33362,코 찌르기 대신 침 뱉어서…‘타액’ 코로나19 자가검사키트 국내 첫 허가,2022-04-29
1816,25,0.0725,"검사, 사건, 손",627cdd4d7f98dd6342b3332e,코 찌르기 대신 침 뱉어서…‘타액’ 코로나19 자가검사키트 국내 첫 허가,2022-04-29
258,25,0.0692,"검사, 사건, 손",627cdd4d7f98dd6342b3242a,"엔화 가치, 20년 만에 최저… 美에 손 내민 日 ",2022-04-21
2066,25,0.0659,"검사, 사건, 손",627cdd4d7f98dd6342b335a3,"개량 국악기, 소리의 변신은 무죄",2022-04-25
2726,25,0.0655,"검사, 사건, 손",627cdd4d7f98dd6342b33a46,코로나서 해방된 ‘가정의 달’… 섬으로 색다른 가족여행 떠나세요,2022-05-11
1653,25,0.0647,"검사, 사건, 손",627cdd4d7f98dd6342b331bd,"‘가정의달’ 5월, 어린이 교통사고 발생 연중 가장 많아",2022-05-03
375,25,0.0635,"검사, 사건, 손",627cdd4d7f98dd6342b3253e,취미활동과 연계된 봉사 인기…모발 기부 한 해 2만여명 동참 ,2022-04-23
1215,25,0.0626,"검사, 사건, 손",627cdd4d7f98dd6342b32d8f,[속보] 이상직 당선무효 확정…공직선거법 위반 징역형,2022-05-12
2753,25,0.0614,"검사, 사건, 손",627cdd4d7f98dd6342b33a75,"“울진·삼척 산불 피해 복구, 인공조림 대신 자연복원으로 해야”",2022-05-11
652,25,0.0594,"검사, 사건, 손",627cdd4d7f98dd6342b327e8,대학병원 첫 감염병검사센터 열었다 ,2022-04-27
1771,25,0.0583,"검사, 사건, 손",627cdd4d7f98dd6342b332cf,"법원 “서울시교육청, ‘스쿨미투’ 발생한 학교 공개해야”",2022-04-29
461,25,0.0573,"검사, 사건, 손",627cdd4d7f98dd6342b3260f,[류청희의 젠틀맨 드라이버]오래된 미술품 관리하듯 클래식 카의 가치 살리는 ‘복원’ ,2022-04-29
1205,25,0.0573,"검사, 사건, 손",627cdd4d7f98dd6342b32d79,"“울진·삼척 산불 피해 복구, 인공조림 대신 자연복원으로 해야”",2022-05-11
1341,25,0.0572,"검사, 사건, 손",627cdd4d7f98dd6342b32eb8,"북한, 코로나 확진자 발생 첫 인정…“국가 최중대 비상사건”",2022-05-12
198,25,0.0553,"검사, 사건, 손",627cdd4d7f98dd6342b323a0,장애인 복지 대폭 확대 나선 서울시 ,2022-04-20
2412,25,0.0543,"검사, 사건, 손",627cdd4d7f98dd6342b33854,"[단독] 이정식 후보자, 본인 비위 공유한 직원 ‘표적 감사’ 지시",2022-04-20
1745,25,0.0542,"검사, 사건, 손",627cdd4d7f98dd6342b3329c,‘골프카트’도 손님 태우고 과금하니 대중교통? 면세소송 결과는,2022-05-02
1979,25,0.0532,"검사, 사건, 손",627cdd4d7f98dd6342b334bf,“형제복지원 사건 잊지 말아요”…‘3만8437명’ 서명운동,2022-04-27
1076,25,0.0532,"검사, 사건, 손",627cdd4d7f98dd6342b32c4e,스쿨존 주정차 금지 6개월… 등교시간 주정차 위반 ‘20분간 15대’ ,2022-05-10
558,25,0.0531,"검사, 사건, 손",627cdd4d7f98dd6342b326e0,"가정의 달, 고함량 비타민으로 온가족 면역력 챙기세요 ",2022-04-25
2292,25,0.0521,"검사, 사건, 손",627cdd4d7f98dd6342b33776,민주당 ‘민형배 위장 탈당’은 꼼수? 국회법 위반? 위헌?,2022-04-21
