Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
1157,29,0.1363,"교육, 기술, 방역",627cdd4d7f98dd6342b32d12,정밀기술 습득 위한 체계적 교육 ‘로봇수술 명의’ 양성,2022-04-16
1134,29,0.1363,"교육, 기술, 방역",627cdd4d7f98dd6342b32cd7,정밀기술 습득 위한 체계적 교육 ‘로봇수술 명의’ 양성 ,2022-04-16
226,29,0.1344,"교육, 기술, 방역",627cdd4d7f98dd6342b323e0,정밀기술 습득 위한 체계적 교육 ‘로봇수술 명의’ 양성 ,2022-04-16
1750,29,0.0645,"교육, 기술, 방역",627cdd4d7f98dd6342b332a7,베이징 노동절 연휴 식당 못간다…코로나 방역 안간힘,2022-05-01
455,29,0.0622,"교육, 기술, 방역",627cdd4d7f98dd6342b32606,"“초중고 코딩교육, 교사양성-교육시간 확대 시급” ",2022-04-28
572,29,0.0503,"교육, 기술, 방역",627cdd4d7f98dd6342b32706,세계로 뻗어나가는 디지털 신기술 창의인재 양성 ,2022-04-29
84,29,0.0486,"교육, 기술, 방역",627cdd4d7f98dd6342b322d9,“학교 교육서 국악 사라진다”… 국악계 ‘교육과정 개정’ 반발 ,2022-04-22
901,29,0.0486,"교육, 기술, 방역",627cdd4d7f98dd6342b32aa4,창업교육 늘고 기술연구 ‘활기’… 양극화 해소는 과제 ,2022-05-05
502,29,0.0481,"교육, 기술, 방역",627cdd4d7f98dd6342b32668,"아주대, 우즈베키스탄에 ‘타슈켄트 아주’설립, 우수 교육체계 수출 ",2022-04-28
1963,29,0.0472,"교육, 기술, 방역",627cdd4d7f98dd6342b33498,PCR로 돌아갈까?…검사 역량 남아돌아 방역당국 고민중,2022-04-27
1516,29,0.0468,"교육, 기술, 방역",627cdd4d7f98dd6342b3304d,"재택근무 권고, 지하철역 폐쇄…방역 강도 높이는 베이징",2022-05-05
699,29,0.0466,"교육, 기술, 방역",627cdd4d7f98dd6342b32871,베이징 인구 90% 2000만명 PCR검사… “봉쇄정보 몰라 더 불안” ,2022-04-27
631,29,0.0455,"교육, 기술, 방역",627cdd4d7f98dd6342b327a9,"미래농업서 친환경 전력까지… 우주탐사기술, 지구에서도 쓴다 ",2022-05-02
986,29,0.0455,"교육, 기술, 방역",627cdd4d7f98dd6342b32b82,카카오 5% - 네이버 3% ‘기술주 급락’… 외국인 두달새 10조 팔아 ,2022-05-07
528,29,0.0423,"교육, 기술, 방역",627cdd4d7f98dd6342b326a4,캠퍼스 세 곳 활용해 글로컬 인재 양성 ,2022-04-29
2430,29,0.0418,"교육, 기술, 방역",627cdd4d7f98dd6342b33870,"화성 탐사로봇, 삼각주 도착…비밀 품은 ‘고대 강’ 만날까",2022-04-20
236,29,0.0388,"교육, 기술, 방역",627cdd4d7f98dd6342b323f7,"조원태 “해외여행객에 PCR 요구는 난센스… 한국정부, 항공기탑승객 코로나규제 풀어야” ",2022-04-20
382,29,0.0362,"교육, 기술, 방역",627cdd4d7f98dd6342b3254f,"민감한 장기에 손상 없이 시술 가능… 기계연, ‘로봇 카테터 시스템’ 개발 ",2022-04-20
792,29,0.034,"교육, 기술, 방역",627cdd4d7f98dd6342b3296d,[경제 이슈&뷰]지역에 활력 불어넣는 소프트웨어 교육 ,2022-04-28
1413,29,0.034,"교육, 기술, 방역",627cdd4d7f98dd6342b32f69,누군가 당신 명의로 몰래 ‘비대면 대출’ 수천만원 받고 있다,2022-05-09
2083,29,0.034,"교육, 기술, 방역",627cdd4d7f98dd6342b335cb,4월 26일자 함께하는 교육 정보 마당,2022-04-25
