Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
2313,55,0.0544,"때, 다음, 피해",627cdd4d7f98dd6342b33798,최고의 춤꾼 가린다…‘전주 비보이 그랑프리’ 다음 달 13일 개막,2022-04-21
479,55,0.0503,"때, 다음, 피해",627cdd4d7f98dd6342b32629,"인천시, 다음달부터 코로나 선별검사소 축소 운영 ",2022-04-27
1798,55,0.0502,"때, 다음, 피해",627cdd4d7f98dd6342b3330d,4년제 대학 97% 등록금 동결·인하…전년보다는 소폭 증가,2022-04-29
2699,55,0.0458,"때, 다음, 피해",627cdd4d7f98dd6342b33a0f,"바이든, 다음달 아세안 정상들과 특별회의…‘반중 연대’ 집중",2022-04-17
608,55,0.0447,"때, 다음, 피해",627cdd4d7f98dd6342b32775,"웨버 대령, 눈감을 때까지 “한반도 분단 안타깝다” ",2022-04-25
1891,55,0.0439,"때, 다음, 피해",627cdd4d7f98dd6342b333db,“제주목 관아가 돌아온다”…다음 달 3일부터 3년 만에 야간 개장,2022-04-29
2468,55,0.0415,"때, 다음, 피해",627cdd4d7f98dd6342b338a1,"대검, “구속 때 부모님 상 못 치러”…‘국민 피해’ 거론하며 연일 여론전",2022-04-19
1253,55,0.0408,"때, 다음, 피해",627cdd4d7f98dd6342b32ddd,[사설] 통합 대신 ‘반지성주의’로 비판세력 겨냥한 윤 대통령,2022-05-10
1653,55,0.0397,"때, 다음, 피해",627cdd4d7f98dd6342b331bd,"‘가정의달’ 5월, 어린이 교통사고 발생 연중 가장 많아",2022-05-03
2767,55,0.0382,"때, 다음, 피해",627cdd4d7f98dd6342b33a97,광주고법도 “5·18 피해자에 정신적 피해 배상해야”…정부 항소 기각,2022-05-11
1231,55,0.0382,"때, 다음, 피해",627cdd4d7f98dd6342b32db0,“반지성주의”로 비판세력 배격…불평등 문제의식은 안 보여,2022-05-10
1839,55,0.034,"때, 다음, 피해",627cdd4d7f98dd6342b33359,그들은 왜 100년 전 한반도 식물을 훑었나,2022-04-29
2112,55,0.034,"때, 다음, 피해",627cdd4d7f98dd6342b33611,짙은 안갯속에 갇힌 한반도…‘하노이 노딜’ 뒤돌아보지 말아야,2022-04-25
2496,55,0.0334,"때, 다음, 피해",627cdd4d7f98dd6342b338c4,"정의용·이인영, 성김 만나 한반도평화프로세스 지속 강조",2022-04-19
2434,55,0.0328,"때, 다음, 피해",627cdd4d7f98dd6342b33875,"수상 때마다 불거진 BTS 병역특례 논란, 이번엔 결론 낼까",2022-04-20
853,55,0.0319,"때, 다음, 피해",627cdd4d7f98dd6342b32a17,8세때 헤어진 엄마 35년만에 다시 만났다 ,2022-05-03
1280,55,0.0303,"때, 다음, 피해",627cdd4d7f98dd6342b32e1f,"소식이 장수 비결이라지만, 아무때나 먹어서야…",2022-05-12
2273,55,0.0303,"때, 다음, 피해",627cdd4d7f98dd6342b33748,"대학 게시판 털기, 그만 좀 합시다",2022-04-21
2052,55,0.0292,"때, 다음, 피해",627cdd4d7f98dd6342b3357a,김정은 “근본이익 침탈 때 핵무력 사명 결행”…열병식에 ICBM 등장,2022-04-26
2423,55,0.0292,"때, 다음, 피해",627cdd4d7f98dd6342b33864,"“10살 때 한글 뗐는데, 생애 처음 쓴 말이 ‘죽고 싶다’였어요”",2022-04-20
757,55,0.0282,"때, 다음, 피해",627cdd4d7f98dd6342b32916,5월은 ‘호캉스’의 달 ,2022-04-29
786,55,0.0276,"때, 다음, 피해",627cdd4d7f98dd6342b3295e,[애널리스트의 마켓뷰]인플레 압력 커질때… 떠오르는 리츠투자 ,2022-04-26
2665,55,0.0276,"때, 다음, 피해",627cdd4d7f98dd6342b339cc,“56살 중졸고시·64살 박사된 이력 살려 ‘시민대학’ 키웁니다”,2022-04-17
