Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
1151,43,0.0685,"회복, 일상, 끝",627cdd4d7f98dd6342b32d05,[사설]757일 만에 일상회복… 코로나와 전쟁 아직 끝 아니다,2022-04-16
2439,43,0.0669,"회복, 일상, 끝",627cdd4d7f98dd6342b3387c,"짝꿍 돌아오고, 수학여행도 간다…5월부터 모든 학교 ‘일상 회복’",2022-04-20
89,43,0.0665,"회복, 일상, 끝",627cdd4d7f98dd6342b322df,[사설]757일 만에 일상회복… 코로나와 전쟁 아직 끝 아니다 ,2022-04-16
392,43,0.0653,"회복, 일상, 끝",627cdd4d7f98dd6342b32561,코로나 특수 끝나나… 韓 네이버도 美 넷플릭스도 ‘쇼크’ ,2022-04-22
1125,43,0.0645,"회복, 일상, 끝",627cdd4d7f98dd6342b32cc4,[사설]757일 만에 일상회복… 코로나와 전쟁 아직 끝 아니다 ,2022-04-16
46,43,0.0636,"회복, 일상, 끝",627cdd4d7f98dd6342b32288,"3년만에 도심 달린 서울마라톤, 일상회복의 봄 활짝 열다 ",2022-04-18
2713,43,0.0533,"회복, 일상, 끝",627cdd4d7f98dd6342b33a2f,"“우리, 미뤄뒀던 결혼 합니다!” 일상회복 타고 결혼식 ‘폭발’",2022-04-17
1300,43,0.0533,"회복, 일상, 끝",627cdd4d7f98dd6342b32e4a,멈췄던 온천수가 흐르자 “일상도 물처럼 회복되길”,2022-05-10
1911,43,0.0522,"회복, 일상, 끝",627cdd4d7f98dd6342b3341e,[이준희의 여기 VAR] ‘축구굴기’는 어디로?…중국 축구 자초한 망신,2022-04-28
1423,43,0.0522,"회복, 일상, 끝",627cdd4d7f98dd6342b32f81,[아침햇발] 일상 회복에도 ‘옥석 가리기’가 필요하다,2022-05-05
20,43,0.0513,"회복, 일상, 끝",627cdd4d7f98dd6342b32258,25개월만에 일상회복… 거리두기 18일 풀린다 ,2022-04-16
369,43,0.0513,"회복, 일상, 끝",627cdd4d7f98dd6342b32529,성큼성큼 다가온 일상 회복의 시간… 답답했던 모든 공간이 ‘생맥주 맛집’ ,2022-04-20
398,43,0.0513,"회복, 일상, 끝",627cdd4d7f98dd6342b32576,“일상회복 응원” 내달 온통대전 할인율 15%로 ,2022-04-20
2519,43,0.0503,"회복, 일상, 끝",627cdd4d7f98dd6342b338dd,"‘일상회복’ 기지개…서울광장도, 홍대버스킹도 시민 품으로",2022-04-19
1330,43,0.0475,"회복, 일상, 끝",627cdd4d7f98dd6342b32e9a,완연한 일상회복…‘5월 연휴 이동량’ 코로나 이전 수준 복귀,2022-05-11
2795,43,0.0475,"회복, 일상, 끝",627cdd4d7f98dd6342b33adf,완연한 일상회복…‘5월 연휴 이동량’ 코로나 이전 수준 복귀,2022-05-11
1471,43,0.0469,"회복, 일상, 끝",627cdd4d7f98dd6342b32ff1,"경기도민 절반 “코로나19 이전 일상회복, 올해 안에 가능”",2022-05-05
2325,43,0.0463,"회복, 일상, 끝",627cdd4d7f98dd6342b337a9,"‘비대면 특수’ 끝났나…네이버 실적, 시장 기대치 밑돌아",2022-04-21
1620,43,0.046,"회복, 일상, 끝",627cdd4d7f98dd6342b33163,"‘노노재팬’은 이제 끝?…아사히, 삿포로 등 4캔 1만원 행사 재개",2022-05-03
1289,43,0.0455,"회복, 일상, 끝",627cdd4d7f98dd6342b32e2d,코로나 ‘온라인 추모소’ 엽니다…일상이 회복돼도 기억할 이름,2022-05-09
2123,43,0.0435,"회복, 일상, 끝",627cdd4d7f98dd6342b33623,윤석열 “올 가을이나 내년 봄 한-미 야외 기동훈련 재개”,2022-04-25
295,43,0.0426,"회복, 일상, 끝",627cdd4d7f98dd6342b32478,"한일관계 회복, ‘선인의 지혜’ 빌리면 어떨까[세계의 눈/오코노기 마사오] ",2022-04-20
886,43,0.0415,"회복, 일상, 끝",627cdd4d7f98dd6342b32a7e,선수 징계 끝난 날 코치끼리 음주폭행… 정신 못 차린 NC ,2022-05-04
402,43,0.0415,"회복, 일상, 끝",627cdd4d7f98dd6342b3257e,“현장 즐거움 다시 누리세요” 되찾은 일상에 야외 행사 재개 ,2022-04-21
1185,43,0.034,"회복, 일상, 끝",627cdd4d7f98dd6342b32d52,고암의 고향 그린 1944년작 ‘홍성월산하’ 기증,2022-05-10
1225,43,0.034,"회복, 일상, 끝",627cdd4d7f98dd6342b32da2,걱정스런 미 연준 행보…‘공짜 점심’은 끝났다,2022-05-08
929,43,0.034,"회복, 일상, 끝",627cdd4d7f98dd6342b32af1,"박경리 작가 14주기, 고향 통영서 추모제 ",2022-05-06
90,43,0.0334,"회복, 일상, 끝",627cdd4d7f98dd6342b322e0,"[신문과 놀자!/주니어를 위한 사설 따라잡기]코로나와의 전쟁, 아직 끝 아니다 ",2022-04-22
284,43,0.0334,"회복, 일상, 끝",627cdd4d7f98dd6342b32461,"[책의 향기]흔들리지 않는 일상, 그것이 행복의 조건 ",2022-04-23
