Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
2007,56,0.0665,"대통령, 문, 청와대",627cdd4d7f98dd6342b33500,문 대통령 “제가 ‘제왕적 대통령’이었나…왜곡된 프레임 공격”,2022-04-26
1607,56,0.0653,"대통령, 문, 청와대",627cdd4d7f98dd6342b3313e,"문 대통령, ‘청년작가’가 그린 초상화 공개…청와대 본관에 걸려",2022-05-03
1408,56,0.0636,"대통령, 문, 청와대",627cdd4d7f98dd6342b32f5f,문 대통령 “다시 출마할까요” 농담 건네며 청와대 떠났다,2022-05-09
1267,56,0.0533,"대통령, 문, 청와대",627cdd4d7f98dd6342b32dfc,[전문] 문 대통령 퇴임 연설…“촛불에 얼마나 부응했나 숙연”,2022-05-09
1311,56,0.0533,"대통령, 문, 청와대",627cdd4d7f98dd6342b32e65,문 대통령 양산행 동행하는 참모 3명은 누구?,2022-05-08
2555,56,0.0514,"대통령, 문, 청와대",627cdd4d7f98dd6342b33905,"김오수 “문 대통령, 70분 할애해 검찰 의견 경청…큰 의미”",2022-04-19
2307,56,0.0513,"대통령, 문, 청와대",627cdd4d7f98dd6342b3378c,"문 대통령, 한승헌 변호사 조문…“옆 감방에서 내의 보내주신 분”",2022-04-21
1277,56,0.0505,"대통령, 문, 청와대",627cdd4d7f98dd6342b32e16,"문 전 대통령 “국민 여러분께 너무 감사…제2의 삶, 새로운 출발 기대”",2022-05-10
2531,56,0.0503,"대통령, 문, 청와대",627cdd4d7f98dd6342b338ea,문 대통령 ‘수사’ 발언에 검찰 ‘긍정’…“과도한 해석 자제” 목소리도,2022-04-19
1878,56,0.0502,"대통령, 문, 청와대",627cdd4d7f98dd6342b333c1,문 대통령 “K-방역은 우리의 자부심…결코 폄훼될 수 없어”,2022-04-28
2581,56,0.0495,"대통령, 문, 청와대",627cdd4d7f98dd6342b33925,문 대통령 “민주주의는 국민의 관심으로 성장한다”…4·19혁명 맞아 SNS,2022-04-19
2033,56,0.0495,"대통령, 문, 청와대",627cdd4d7f98dd6342b3354f,"문 대통령, SK바사 백신 임상 3상 성공에 “부단한 노력·의지 결실”",2022-04-26
1352,56,0.0492,"대통령, 문, 청와대",627cdd4d7f98dd6342b32eda,전직 대통령 8명 교훈으로 본 ‘대통령 윤석열’이 가야할 길은?,2022-05-08
1972,56,0.0477,"대통령, 문, 청와대",627cdd4d7f98dd6342b334b4,"시민단체 “문 대통령, 이재용·신동빈 특별사면 요구 거부해야”",2022-04-27
2199,56,0.0475,"대통령, 문, 청와대",627cdd4d7f98dd6342b336bc,문 대통령 “한반도 평화 위해 언제든 함께”…퇴임 뒤 ‘대북 역할’ 의지?,2022-04-22
2100,56,0.0472,"대통령, 문, 청와대",627cdd4d7f98dd6342b335f3,"문 대통령 부부, 백신 4차 접종 완료…“많이 호응하셔야 할 텐데”",2022-04-25
