Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
1177,24,0.0746,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b32d43,밀·옥수수 사재기·수출통제…우크라발 ‘식량전쟁’ 이제 시작일 뿐,2022-05-09
1359,24,0.0673,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b32ee7,한-일 등 세계 지식인들 ‘우크라이나 전쟁 즉각 중단’ 한목소리,2022-05-10
2428,24,0.0669,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b3386e,러시아발 전쟁·중국발 봉쇄… 세계 경제 ‘지뢰’,2022-04-19
212,24,0.0627,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b323bb,"러, 해군 상징 ‘모스크바함’ 침몰… 우크라 8개 도시 맹폭 ",2022-04-18
733,24,0.0533,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b328d9,러-우크라 우호 상징 청동상 철거 ,2022-04-28
1985,24,0.0533,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b334cd,"키이우, 우크라-러 우호 상징하는 8m 동상 철거…“친구 아니라 적”",2022-04-27
724,24,0.0513,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b328bf,"올들어 주식 24조 사들인 개미들, 美긴축-우크라 전쟁에 한숨 ",2022-04-25
1420,24,0.0495,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b32f7a,키신저 “우크라 전쟁 뒤 중-러 연대 깨는 차별적 접근 필요”,2022-05-10
1212,24,0.0483,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b32d86,"바이든, 우크라에 전쟁 물자 신속 지원하는 ‘무기대여법’ 서명",2022-05-10
617,24,0.0475,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b3278c,"중동 덮친 우크라발 애그플레이션… 이집트, 빵값 2배 이상 치솟아 ",2022-04-28
2658,24,0.0468,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b339bf,이제 분초를 다툰다…대기업도 뛰어든 ‘퀵커머스 전쟁’,2022-04-18
28,24,0.0404,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b3226a,기업유치 성과 아산… “50만 자족도시 만든다” ,2022-04-19
868,24,0.0375,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b32a47,[인사이드＆인사이트]가습기살균제 피해 조정 무산 위기… 기업 발빼고 정부는 뒷짐 ,2022-05-04
2406,24,0.0348,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b3384d,"유엔 전 고위직들 “유엔, 존립 위기”…우크라 침공 적극 역할 촉구",2022-04-20
2181,24,0.0347,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b33692,"우크라 남부까지 밀어붙이는 러, 몰도바 영토까지 넘보나",2022-04-24
776,24,0.0347,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b32943,우크라 항전 지휘관 “됭케르크처럼 구해달라” ,2022-04-29
161,24,0.034,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b32363,직영농장 분양으로 연 20% 수익 받는다 ,2022-04-22
2737,24,0.034,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b33a5a,러 가짜뉴스에 맞선 우크라 언론인들 퓰리처賞,2022-05-11
2133,24,0.034,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b33635,"우크라 위로한 베네치아, 따뜻한 연대의 작품들 빛났다",2022-04-24
937,24,0.034,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b32b09,경매 나온 ‘젤렌스키 사인볼’… “우크라 구호에 사용” ,2022-05-05
2231,24,0.034,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b336f9,“시신 9000구 층층이 매장됐다”…우크라 묘지 200곳 위성 포착,2022-04-22
1727,24,0.034,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b33279,[문정인 칼럼] 우크라이나 사태와 동북아 핵 도미노,2022-05-01
2261,24,0.034,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b33733,[크리틱] 전쟁 극장,2022-04-21
655,24,0.034,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b327f5,"러일전쟁 승리, 日 국익에 정말 이로웠나[박훈 한국인이 본 20세기 일본사] ",2022-04-29
2712,24,0.0334,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b33a2d,"‘단 한시간 만이라도’…여성의 목을 짓누른, 그 발 좀 치우라",2022-04-16
1809,24,0.0334,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b33322,광주가 품은 우크라 고려인 미래는?,2022-04-29
1787,24,0.0334,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b332ee,광주가 품은 우크라 고려인 미래는?,2022-04-29
2417,24,0.0334,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b3385b,"나토 쪽, 우크라이나 ‘최상위 요구 목록’ 전투기도 제공",2022-04-20
1424,24,0.0334,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b32f84,푸틴독재 염증이 부추긴 IT인력 엑소더스…우크라 침공에 가속도,2022-05-06
83,24,0.0334,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b322d5,그리스-로마인이 사랑했던 지중해의 보석을 발 아래에 ,2022-04-21
538,24,0.0334,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b326ba,"“車 제조사들, 자율주행 시대엔 구독기능서 더 큰 수익” ",2022-04-26
2804,24,0.0334,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b33b02,소련 해체 주역 우크라 초대 대통령 크라우츠크 별세,2022-05-11
1371,24,0.0334,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b32f04,소련 해체 주역 우크라 초대 대통령 크라우츠크 별세,2022-05-11
2308,24,0.0328,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b3378f,"보훈처장, 한국전쟁 참전 미 웨버 대령 장례식 참석",2022-04-21
2113,24,0.0328,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b33612,지금 우크라와 겹치는 120년 전 러시아 고전 뮤지컬,2022-04-25
1927,24,0.0328,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b3343d,"국제원자력기구 “우크라 자포리자 원전, 수리 필요…안전 위태”",2022-04-28
2172,24,0.0328,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b33682,"러시아 공군, 우크라이나 제공권 장악하지 못하는 이유",2022-04-24
487,24,0.0322,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b3263b,"美 1분기 성장률 ―1.4% ‘쇼크’, 우크라戰-긴축에 경제 역주행 ",2022-04-29
1805,24,0.0322,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b3331b,아마존 21년 만의 ‘최저 성장’…공급망 차질·우크라 사태 겹악재 탓,2022-04-29
1863,24,0.0322,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b3338b,우크라 장기전 대비하는 바이든 “330억달러 더”…5개월 지원 가능,2022-04-29
2419,24,0.0319,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b3385f,"승자 없는 새벽배송 전쟁, 그 결말은?",2022-04-20
609,24,0.0319,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b3277a,“차량 매연저감장치 무상점검 받으세요” ,2022-04-26
2433,24,0.0319,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b33874,‘서민의 발’ 시외버스 절반이 멈춰섰다,2022-04-20
681,24,0.0319,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b32844,"[오늘과 내일/박용]반도체 전쟁, 기업인 ‘모래주머니’ 떼고 뛰게 해야 ",2022-04-27
1228,24,0.0316,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b32daa,"CIA 국장 “중, 대만 관련해 우크라 주시…미-유럽 단결에 긴장”",2022-05-08
2577,24,0.0316,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b33920,"미 “러, 돈바스에서 더 공격적일 것”…“우크라군 미제 무기 사용 훈련”",2022-04-19
2357,24,0.0313,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b337f5,우크라 돈바스 공방전…탱크 총동원한 2차대전 양상 번져,2022-04-21
1880,24,0.0313,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b333c5,“우크라전은 실수”…‘푸틴 절친’ 슈뢰더 ‘친러 행보’에 뭇매,2022-04-28
1056,24,0.0313,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b32c21,첨단 장비 초월하는 음파 탐지력… 전쟁까지 투입되는 돌고래 ,2022-05-09
239,24,0.0313,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b323fe,"美셰프, 러 포격 속 우크라서 ‘1200만끼 봉사’ ",2022-04-21
1735,24,0.0307,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b33287,“일제·전쟁·독재 ‘격랑의 시대’ 겪어내고 ‘참교육’ 지지해주셨죠”,2022-05-01
606,24,0.0296,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b3276b,‘조선인 차별 역사’ 日우토로에 ‘평화의 상징’ 개관 ,2022-04-30
490,24,0.0292,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b32640,서핑의 성지 양양… 풍부한 관광수요로 안정적 수익 누린다 ,2022-04-29
2743,24,0.0276,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b33a66,"경기도, 시외버스에 공기정화장치 보급",2022-05-11
858,24,0.0271,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b32a2c,"100대 기업 투자, 반도체 빼면 마이너스 ",2022-05-03
1259,24,0.026,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b32ded,"12달러도 깨졌다, ‘수직하강’ 쿠팡 주가만 바라보는 기업은?",2022-05-06
1183,24,0.0255,"우크라, 전쟁, 기업",627cdd4d7f98dd6342b32d50,"경기도, 시외버스에 공기정화장치 보급",2022-05-11
