Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
1777,38,0.0657,"윤석열, 글로벌, 만들",627cdd4d7f98dd6342b332dc,"개인차는 업무용, 모친집 전세로…너무 알뜰한 윤석열 ‘세테크 내각’",2022-05-01
2464,38,0.0472,"윤석열, 글로벌, 만들",627cdd4d7f98dd6342b3389d,"[아침햇발] 검사 윤석열, 대통령 윤석열",2022-04-19
634,38,0.0463,"윤석열, 글로벌, 만들",627cdd4d7f98dd6342b327ae,[광화문에서/김지현]민주당 폭주에 빌미만 준 윤석열 1기 내각 인선 ,2022-04-26
1110,38,0.0463,"윤석열, 글로벌, 만들",627cdd4d7f98dd6342b32ca3,앱마켓 원스토어 “상장 철회 안해… 글로벌 300조 시장 놓고 경쟁” ,2022-05-10
1600,38,0.046,"윤석열, 글로벌, 만들",627cdd4d7f98dd6342b33125,대형마트 테이프·노끈 부활? 시민·업계 “적응했는데 굳이 뭣 하러”,2022-05-04
2506,38,0.0451,"윤석열, 글로벌, 만들",627cdd4d7f98dd6342b338cf,"미-중 경쟁 최전선 떠오른 남태평양의 섬나라, 솔로몬제도",2022-04-19
566,38,0.0369,"윤석열, 글로벌, 만들",627cdd4d7f98dd6342b326f9,빌 게이츠 “팬데믹 또 올것… 글로벌예방팀 만들자” ,2022-04-28
837,38,0.0356,"윤석열, 글로벌, 만들",627cdd4d7f98dd6342b329f3,소외된 여성청소년에게 꿈을… LG화학 여수공장의 ‘희망박스’ ,2022-05-03
2037,38,0.0348,"윤석열, 글로벌, 만들",627cdd4d7f98dd6342b3355a,"이명수 서울의소리 기자, ‘윤석열 주차장 침입’  벌금 300만원",2022-04-26
227,38,0.0342,"윤석열, 글로벌, 만들",627cdd4d7f98dd6342b323e5,“한국적 스토리의 명작 뮤지컬 만들어 세계무대 올릴 것” ,2022-04-18
668,38,0.0342,"윤석열, 글로벌, 만들",627cdd4d7f98dd6342b3281f,업계 최초 전기차 도입… 환경보호 앞장 ,2022-04-28
