Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
675,63,0.0513,"지원, 청년, 사망",627cdd4d7f98dd6342b32830,"서울시, 만19~24세 청년 15만명에 대중교통비 최대 10만원 지원 ",2022-04-25
1437,63,0.0511,"지원, 청년, 사망",627cdd4d7f98dd6342b32fa4,"우크라이나의 자유, 어산지의 자유",2022-05-08
156,63,0.049,"지원, 청년, 사망",627cdd4d7f98dd6342b32359,저소득 청년에 월세 20만원씩 1년 지원 ,2022-04-22
2334,63,0.0483,"지원, 청년, 사망",627cdd4d7f98dd6342b337c8,8월부터 저소득 청년 대상으로 월 최대 20만원씩 월세 지원,2022-04-21
876,63,0.046,"지원, 청년, 사망",627cdd4d7f98dd6342b32a5c,관리법부터 재배품목까지… “청년 부농의 꿈 스마트팜으로 이루세요” ,2022-05-04
2532,63,0.0447,"지원, 청년, 사망",627cdd4d7f98dd6342b338eb,경기도내 비정규직 1700명에 휴가비 25만원 지원,2022-04-19
286,63,0.0443,"지원, 청년, 사망",627cdd4d7f98dd6342b32467,"경기도, 작년 ‘가계 부채’ 고충 해소 2만1000명 지원 ",2022-04-18
2047,63,0.0431,"지원, 청년, 사망",627cdd4d7f98dd6342b33572,“경로당 여니 자유 되찾은 것 같아”…일상 맞이에 전국이 ‘심쿵’,2022-04-26
2690,63,0.0423,"지원, 청년, 사망",627cdd4d7f98dd6342b33a05,[단독] 교육장관 후보자가 비리 옹호? “사학비리 있어도 재정지원”,2022-04-17
705,63,0.0415,"지원, 청년, 사망",627cdd4d7f98dd6342b32891,연금재정 안정화로 고객 행복한 삶에 기여 ,2022-04-25
836,63,0.041,"지원, 청년, 사망",627cdd4d7f98dd6342b329f2,청년이 10년 저축땐 정부가 보태 1억… ‘청년도약계좌’ 내년 나온다 ,2022-05-03
1956,63,0.0388,"지원, 청년, 사망",627cdd4d7f98dd6342b33480,노동청 “‘막말·욕설’ 서울시 청년활동지원센터장 직장내 괴롭힘 맞다”,2022-04-27
2523,63,0.0375,"지원, 청년, 사망",627cdd4d7f98dd6342b338e1,"2년간 6명 사망했는데…상하이, 이틀간 코로나 10명 사망",2022-04-19
1027,63,0.0355,"지원, 청년, 사망",627cdd4d7f98dd6342b32be0,"[메트로 뉴스]서초구, 재창업 소상공인에 고용장려금 지원 外 ",2022-05-09
1700,63,0.0334,"지원, 청년, 사망",627cdd4d7f98dd6342b33234,윤석열 ‘청년 1억 목돈 통장’ 내년 출시,2022-05-02
1193,63,0.0334,"지원, 청년, 사망",627cdd4d7f98dd6342b32d65,[새 정부에 바란다] “불평등 해결 없는 현금지원 정책은 일회성”,2022-05-10
2618,63,0.0328,"지원, 청년, 사망",627cdd4d7f98dd6342b33979,"나라 곳간에 싱크홀?…인수위, 재정책임 떠넘기며 ‘공약 수정’ 시동",2022-04-18
249,63,0.0325,"지원, 청년, 사망",627cdd4d7f98dd6342b32418,"나훈아, 데뷔 55주년 기념 전국 순회공연 ",2022-04-19
1186,63,0.0319,"지원, 청년, 사망",627cdd4d7f98dd6342b32d54,"지친 당신, 해인사로 가라…19~35살 청년 무료 객실 운영",2022-05-10
2190,63,0.0313,"지원, 청년, 사망",627cdd4d7f98dd6342b336aa,“‘꿀 빤 세대론’은 권위주의 향한 향수…청년이 세력화해 밀어내고 나가야”,2022-04-23
704,63,0.031,"지원, 청년, 사망",627cdd4d7f98dd6342b3288c,바이든 “자유언론 역할 어느때보다 중요… 대중의 적 아냐” 트럼프-푸틴 겨냥 ‘저격’ ,2022-05-02
2539,63,0.0307,"지원, 청년, 사망",627cdd4d7f98dd6342b338f2,"“표현의 자유” 머스크 뛰어든 트위터 인수전, 월가 큰손들도 가세",2022-04-19
1367,63,0.0303,"지원, 청년, 사망",627cdd4d7f98dd6342b32eff,비틀스도 몰랐던 세금의 의미,2022-05-08
393,63,0.0298,"지원, 청년, 사망",627cdd4d7f98dd6342b32566,“함께 가야 멀리 간다” 소상공인-창작자 등에 밀착 지원 나서 ,2022-04-22
2068,63,0.0298,"지원, 청년, 사망",627cdd4d7f98dd6342b335a8,"뮤지컬 ‘아몬드’, 원작 감동 그대로…공감의 의미를 묻다",2022-04-25
1309,63,0.0292,"지원, 청년, 사망",627cdd4d7f98dd6342b32e60,"손흥민이 세운 금자탑, EPL 출범 30년간 45명뿐",2022-05-09
81,63,0.0292,"지원, 청년, 사망",627cdd4d7f98dd6342b322d0,"서방, ‘돈바스 결전’에 전투기 등 지원강화… 러, 용병 2만 증파 ",2022-04-21
1658,63,0.0286,"지원, 청년, 사망",627cdd4d7f98dd6342b331c6,반백년 역사 어린이대공원 새단장…서울은 놀이터 정비 중,2022-05-03
1753,63,0.0282,"지원, 청년, 사망",627cdd4d7f98dd6342b332ac,우여곡절의 전속고발제 46년 역사,2022-05-02
1465,63,0.0276,"지원, 청년, 사망",627cdd4d7f98dd6342b32fe0,“자유이용권 샀는데 기다리다 결국 환불”…사흘 연휴 전국이 ‘북적’,2022-05-08
2363,63,0.0276,"지원, 청년, 사망",627cdd4d7f98dd6342b33802,국제기구가 간호법 제정을 지지하는 이유,2022-04-20
602,63,0.0276,"지원, 청년, 사망",627cdd4d7f98dd6342b32763,"바이든 “올브라이트, 나토 확장으로 역사 바꿨다” ",2022-04-29
438,63,0.0276,"지원, 청년, 사망",627cdd4d7f98dd6342b325db,[횡설수설/박중현]단순 노무직 찾는 청년들 ,2022-04-29
2426,63,0.0255,"지원, 청년, 사망",627cdd4d7f98dd6342b33869,마트에서 번호표 뽑자 AI 은행원이 불렀다 “7001번 고객님~”,2022-04-20
2719,63,0.0229,"지원, 청년, 사망",627cdd4d7f98dd6342b33a3a,“세월은 약이 아니더라”…사회적 참사 유가족의 목소리,2022-04-16
2376,63,0.0216,"지원, 청년, 사망",627cdd4d7f98dd6342b33817,"JH, 토니, 공산주의…CEO+MZ 타운홀미팅, 독일까 약일까",2022-04-20
