Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
1066,42,0.0642,"정부, 尹, 논의",627cdd4d7f98dd6342b32c35,"尹정부,168석 巨野와 대치… 대화-협치로 국정운영 길 터야 ",2022-05-10
1403,42,0.0631,"정부, 尹, 논의",627cdd4d7f98dd6342b32f51,"윤석열 정부-국민의힘, 11일 추경 논의 첫 당정협의",2022-05-10
1063,42,0.0622,"정부, 尹, 논의",627cdd4d7f98dd6342b32c2d,"尹정부, 168석 巨野와 대치… 대화-협치로 국정운영 길 터야 ",2022-05-10
1014,42,0.0622,"정부, 尹, 논의",627cdd4d7f98dd6342b32bc6,"[단독]尹측 “13일 추경 국무회의, 새정부 장관들과 함께” 임명강행 시사 ",2022-05-09
459,42,0.0524,"정부, 尹, 논의",627cdd4d7f98dd6342b3260c,"[광화문에서/박희창]2차 추경 나서는 새 정부, 재원과 물가 대책도 세웠나 ",2022-04-29
1133,42,0.0513,"정부, 尹, 논의",627cdd4d7f98dd6342b32cd2,한국노총 찾은 尹 “변함없는 친구로 노동문제 논의” ,2022-04-16
949,42,0.0495,"정부, 尹, 논의",627cdd4d7f98dd6342b32b21,"尹측, 정호영도 ‘GO’ 방침… 민주 반대엔 “새정부 발목잡기” 여론전 ",2022-05-06
1018,42,0.0495,"정부, 尹, 논의",627cdd4d7f98dd6342b32bca,[단독]尹측 “13일 새정부 장관과 국무회의” 임명강행 시사 ,2022-05-09
209,42,0.0492,"정부, 尹, 논의",627cdd4d7f98dd6342b323b4,한국노총 찾은 尹 “변함없는 친구로 노동문제 논의” ,2022-04-16
381,42,0.0492,"정부, 尹, 논의",627cdd4d7f98dd6342b3254e,"성김, 尹 외교안보 라인과 연쇄회동 대북 논의 ",2022-04-20
506,42,0.0486,"정부, 尹, 논의",627cdd4d7f98dd6342b32673,"정부 “마스크 정치적 판단 안해”… 인수위 “文정부, 功욕심에 성급” ",2022-04-30
2762,42,0.0462,"정부, 尹, 논의",627cdd4d7f98dd6342b33a8a,윤석열 정부 첫 중대본 회의…“다음주 확진자 격리의무 해제 논의”,2022-05-11
1171,42,0.0451,"정부, 尹, 논의",627cdd4d7f98dd6342b32d31,윤석열 정부 첫 추경 ‘30조원대 중반’될 듯…국채 발행 최소화,2022-05-10
1229,42,0.0406,"정부, 尹, 논의",627cdd4d7f98dd6342b32dab,윤석열 정부 첫 중대본 회의…“다음주 확진자 격리의무 해제 논의”,2022-05-11
1594,42,0.0402,"정부, 尹, 논의",627cdd4d7f98dd6342b33117,"[포토] 어색한 악수, 한복 입은 북 기자…50년 전 남북대화",2022-05-04
1245,42,0.0389,"정부, 尹, 논의",627cdd4d7f98dd6342b32dd1,"“현 정부 초기 방역 성과 냈지만, 오미크론 이후 아쉽다”",2022-05-08
