Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
493,1,0.0642,"한국, 금융, 믹",627cdd4d7f98dd6342b32647,"[알립니다]팬데믹 이후, 한국 경제-금융의 성장 전략 ",2022-05-02
2305,1,0.0483,"한국, 금융, 믹",627cdd4d7f98dd6342b33789,"이창용 “장기 저성장 기로…한은, 통화·금융 넘은 해결책 제시해야”",2022-04-21
810,1,0.0439,"한국, 금융, 믹",627cdd4d7f98dd6342b3299c,500여년 전 지하세계 관장 ‘믹틀란테쿠틀리’ 첫 한국 방문 ,2022-05-03
53,1,0.0389,"한국, 금융, 믹",627cdd4d7f98dd6342b32298,"IMF, 한국 성장률 2.5%로 내리고 물가는 4%로 상향 ",2022-04-20
2432,1,0.0389,"한국, 금융, 믹",627cdd4d7f98dd6342b33873,"IMF, 한국 올 성장률 3%→2.5%로 하향 조정",2022-04-19
1971,1,0.0376,"한국, 금융, 믹",627cdd4d7f98dd6342b334b0,[SPECIAL] 미래 트렌드를 읽는 금융 서비스 개발자,2022-04-27
1822,1,0.0376,"한국, 금융, 믹",627cdd4d7f98dd6342b3333a,"[ESC] 엔데믹 시대, 나라밖 등산여행 떠나볼까",2022-04-29
812,1,0.0376,"한국, 금융, 믹",627cdd4d7f98dd6342b329a1,한국 발레 ‘대모’ 김정욱 교수 별세 ,2022-05-03
2591,1,0.0342,"한국, 금융, 믹",627cdd4d7f98dd6342b3393a,실물·금융 옥죄는 역대급 대러 제재…달러 체제에 ‘부메랑’ 우려도,2022-04-19
628,1,0.0334,"한국, 금융, 믹",627cdd4d7f98dd6342b327a2,"영끌족 시름 깊은데… 5대 금융그룹, 이자이익 11조 ",2022-04-25
2700,1,0.0325,"한국, 금융, 믹",627cdd4d7f98dd6342b33a11,"한국 배드민턴, 코리아 마스터스서 금메달 3개 잔치",2022-04-17
1295,1,0.0319,"한국, 금융, 믹",627cdd4d7f98dd6342b32e3f,[조형근의 낮은 목소리] 나의 이중언어 생활 고백기,2022-05-10
315,1,0.0316,"한국, 금융, 믹",627cdd4d7f98dd6342b324a8,"[사설]IMF, 140여 국 성장률 하향… 글로벌 ‘부채 폭탄’ 대비하고 있나 ",2022-04-20
399,1,0.0316,"한국, 금융, 믹",627cdd4d7f98dd6342b32578,"안철수 인수위원장의 부친, 부산서 평생 의술 안영모씨 별세 ",2022-04-20
869,1,0.0316,"한국, 금융, 믹",627cdd4d7f98dd6342b32a49,인천시 공동육아시설 ‘아이사랑꿈터’ 70곳으로 확대 운영 ,2022-05-04
170,1,0.0313,"한국, 금융, 믹",627cdd4d7f98dd6342b32375,DGIST ‘한국도서관상’ 대상 수상 ,2022-04-20
2436,1,0.0313,"한국, 금융, 믹",627cdd4d7f98dd6342b33877,펀드 불완전판매한 한국투자증권에 과태료 29억원,2022-04-20
1362,1,0.031,"한국, 금융, 믹",627cdd4d7f98dd6342b32eec,인사기획관 복두규 전 대검 사무국장…대통령실에 검찰인맥,2022-05-06
920,1,0.031,"한국, 금융, 믹",627cdd4d7f98dd6342b32ad5,"[사설]글로벌 금융위기 수준 물가 급등, 新舊 정부 누가 챙기나 ",2022-05-05
2656,1,0.0307,"한국, 금융, 믹",627cdd4d7f98dd6342b339bb,파생금융상품의 덫…‘복잡한 투자 구조’ 고의였나?,2022-04-18
1813,1,0.0307,"한국, 금융, 믹",627cdd4d7f98dd6342b33329,한국미술 상전벽해…베네치아서 다양한 전시 펼쳐,2022-04-29
1681,1,0.0307,"한국, 금융, 믹",627cdd4d7f98dd6342b331fb,‘한국 토스트·커피로 여는 몽골의 아침’…아시아에 꽃피는 ‘편의점 한류’,2022-05-03
1081,1,0.0303,"한국, 금융, 믹",627cdd4d7f98dd6342b32c5a,텅스텐 5800만t 묻혀있는데… 혜택 못보는 한국 ,2022-05-10
2242,1,0.0303,"한국, 금융, 믹",627cdd4d7f98dd6342b3370b,한국 근대 유학을 위한 변명,2022-04-22
73,1,0.0292,"한국, 금융, 믹",627cdd4d7f98dd6342b322c1,"[오늘과 내일/배극인]반도체 한국, 흔들리는 초격차 ",2022-04-19
817,1,0.0286,"한국, 금융, 믹",627cdd4d7f98dd6342b329b1,"[이진구 기자의 對話]“2030년 한국형 달착륙선 성공, 꿈 아닌 TV서 볼 수 있어” ",2022-05-03
69,1,0.0282,"한국, 금융, 믹",627cdd4d7f98dd6342b322b8,“한국마라톤 살아있음을 보여주겠다” ,2022-04-18
1634,1,0.0276,"한국, 금융, 믹",627cdd4d7f98dd6342b33192,“한국문학 토대 일군 ‘무명의 번역가’ 220명 목소리 담았죠”,2022-05-03
2184,1,0.0276,"한국, 금융, 믹",627cdd4d7f98dd6342b33699,‘영원한 이방인’과 평생 멍에 썼던 가족들,2022-04-23
2139,1,0.0276,"한국, 금융, 믹",627cdd4d7f98dd6342b33640,“납세자들 이해 어려운 행정용어 사용은 언어 폭력이죠”,2022-04-24
245,1,0.0271,"한국, 금융, 믹",627cdd4d7f98dd6342b32410,“한국 재즈의 모든 스펙트럼 준비… 소중한 무대 선사할게요” ,2022-04-18
