Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
1917,16,0.0747,"말, 위기, 문화",627cdd4d7f98dd6342b3342c,"[아침햇발] 검사의 말, 대통령의 말, ‘진보’의 말",2022-04-28
2596,16,0.0713,"말, 위기, 문화",627cdd4d7f98dd6342b33944,"한라산 ‘멸종위기’ 구상나무숲, 기후위기로 사라져간다",2022-04-18
2030,16,0.0675,"말, 위기, 문화",627cdd4d7f98dd6342b33549,‘에너지 안보’ 위기에 “친환경 잠시 쉬었다 갈게요”…그럼 기후위기는?,2022-04-26
863,16,0.0606,"말, 위기, 문화",627cdd4d7f98dd6342b32a35,“지구를 아껴요” 아이들이 말하는 기후위기 ,2022-05-03
1158,16,0.0577,"말, 위기, 문화",627cdd4d7f98dd6342b32d14,海神이 지킨 신들의 정원… 정약전의 유배문화 활짝,2022-04-16
1120,16,0.0566,"말, 위기, 문화",627cdd4d7f98dd6342b32cb6,"“대검, 김학의 불법출금 보고에 ‘안받는 걸로 하겠다’ 말해” ",2022-04-16
1135,16,0.0556,"말, 위기, 문화",627cdd4d7f98dd6342b32cda,海神이 지킨 신들의 정원… 정약전의 유배문화 활짝 ,2022-04-16
796,16,0.0556,"말, 위기, 문화",627cdd4d7f98dd6342b32975,레이더 개발 30년… 장사정포 요격체계 개발 핵심으로 우뚝 ,2022-04-29
1147,16,0.0545,"말, 위기, 문화",627cdd4d7f98dd6342b32cfa,"“대검, 김학의 불법출금 보고에 ‘안받는 걸로 하겠다’ 말해”",2022-04-16
678,16,0.0536,"말, 위기, 문화",627cdd4d7f98dd6342b32839,尹 “돈 없어 백신개발 못한다는 말 없게 지원” ,2022-04-26
21,16,0.0503,"말, 위기, 문화",627cdd4d7f98dd6342b32259,"“대검, 김학의 불법출금 보고에 ‘안받는 걸로 하겠다’ 말해” ",2022-04-16
54,16,0.0494,"말, 위기, 문화",627cdd4d7f98dd6342b32299,"러, 돈바스 총공세… “피란민에도 총질” 집단학살 재연 우려 ",2022-04-20
405,16,0.0494,"말, 위기, 문화",627cdd4d7f98dd6342b32586,"러, 내달 4일 첫 국가부도 위기… “크렘린서도 ‘푸틴 오판’ 탄식” ",2022-04-22
243,16,0.0491,"말, 위기, 문화",627cdd4d7f98dd6342b3240a,海神이 지킨 신들의 정원… 정약전의 유배문화 활짝 ,2022-04-16
2466,16,0.0482,"말, 위기, 문화",627cdd4d7f98dd6342b3389f,‘기후위기 시대 기독교의 응답’…21일 첫 강의,2022-04-19
2693,16,0.0473,"말, 위기, 문화",627cdd4d7f98dd6342b33a08,"기후위기엔 좌우 없고, ‘남북 그린데탕트’ 공약 지킬 방법 있다",2022-04-17
423,16,0.0468,"말, 위기, 문화",627cdd4d7f98dd6342b325b3,"전북도립국악원, 내일부터 문화예술공연 재개 ",2022-04-25
61,16,0.0427,"말, 위기, 문화",627cdd4d7f98dd6342b322a8,유럽 문화의 심장부에서 대자연을 누리다 ,2022-04-21
452,16,0.0426,"말, 위기, 문화",627cdd4d7f98dd6342b32600,"원-달러 환율, 금융위기때 수준 폭등… 수입기업-유학생 등 비상 ",2022-04-28
616,16,0.0424,"말, 위기, 문화",627cdd4d7f98dd6342b3278b,"‘생산’ 넘어 ‘개발’로… 바이오 시장 패권, 지금이 기회다 ",2022-04-28
1266,16,0.0417,"말, 위기, 문화",627cdd4d7f98dd6342b32df9,공공기관 이전 나주 혁신도시에 도전장 내민 후보들 ‘눈길’,2022-05-11
2776,16,0.0417,"말, 위기, 문화",627cdd4d7f98dd6342b33aa7,공공기관 이전 나주 혁신도시에 도전장 내민 후보들 ‘눈길’,2022-05-11
102,16,0.0414,"말, 위기, 문화",627cdd4d7f98dd6342b322f4,“선차문화대축전에 오세요” ,2022-04-20
906,16,0.0406,"말, 위기, 문화",627cdd4d7f98dd6342b32ab0,[명의가 추천한 명의]새 치료법 개발하고 재발률 최소화… 믿고 맡기는 전문의들 ,2022-05-04
1150,16,0.0406,"말, 위기, 문화",627cdd4d7f98dd6342b32d04,[새로 나왔어요]다시 말해 줄래요? 外,2022-04-16
2117,16,0.0406,"말, 위기, 문화",627cdd4d7f98dd6342b3361a,"수단 아랍계 민병대 ‘잔자위드’, 비아랍계 주민 150명 넘게 학살",2022-04-25
1632,16,0.0406,"말, 위기, 문화",627cdd4d7f98dd6342b3318a,"배구선수 죽인 ‘그 살균제’…옥시는 보라, 말 못해서 쓴 “아파”",2022-05-03
88,16,0.0406,"말, 위기, 문화",627cdd4d7f98dd6342b322de,[새로 나왔어요]다시 말해 줄래요? 外 ,2022-04-16
2510,16,0.0398,"말, 위기, 문화",627cdd4d7f98dd6342b338d3,[유레카] 홍위병 대신 ‘백위병’…상하이 ‘방역 문화대혁명’ / 박민희,2022-04-19
1314,16,0.0398,"말, 위기, 문화",627cdd4d7f98dd6342b32e71,[김봉규의 사람아 사람아] 단 이틀 동안 4만3천명이 학살당하다,2022-05-10
1021,16,0.0398,"말, 위기, 문화",627cdd4d7f98dd6342b32bd4,"서울시, 지구단위계획 손질… 역세권 개발 탄력 ",2022-05-09
2160,16,0.0392,"말, 위기, 문화",627cdd4d7f98dd6342b3366a,오리가 하는 말,2022-04-24
280,16,0.0391,"말, 위기, 문화",627cdd4d7f98dd6342b3245a,[현장속으로]수소선박 유람선 타고 둘러본 ‘태화강 국가정원’… 울산의 명물 기대 ,2022-04-22
604,16,0.0385,"말, 위기, 문화",627cdd4d7f98dd6342b32766,폐플라스틱 자원 선순환 제품 개발 적극 나서 ,2022-04-29
1124,16,0.0385,"말, 위기, 문화",627cdd4d7f98dd6342b32cc3,[새로 나왔어요]다시 말해 줄래요? 外 ,2022-04-16
414,16,0.0385,"말, 위기, 문화",627cdd4d7f98dd6342b325a1,[책의 향기/뒷날개]진부하지만 여전히 낯선 이방인이 본 한국의 문화 ,2022-04-23
762,16,0.0385,"말, 위기, 문화",627cdd4d7f98dd6342b32922,온실가스 28만 t 감축… ESG경영 체감 성과 창출 ,2022-04-25
2179,16,0.0385,"말, 위기, 문화",627cdd4d7f98dd6342b3368e,"재기의 삶, 박경석의 용기…감히 ‘안다고’ 말하지 말자",2022-04-22
1869,16,0.0385,"말, 위기, 문화",627cdd4d7f98dd6342b333a8,‘소녀문화’의 현실을 톺아보면,2022-04-29
2403,16,0.0377,"말, 위기, 문화",627cdd4d7f98dd6342b33849,남미로 간 한국 출판…콜롬비아에서 ‘재회’와 ‘공존’을 말하다,2022-04-20
2423,16,0.0377,"말, 위기, 문화",627cdd4d7f98dd6342b33864,"“10살 때 한글 뗐는데, 생애 처음 쓴 말이 ‘죽고 싶다’였어요”",2022-04-20
1880,16,0.0377,"말, 위기, 문화",627cdd4d7f98dd6342b333c5,“우크라전은 실수”…‘푸틴 절친’ 슈뢰더 ‘친러 행보’에 뭇매,2022-04-28
1459,16,0.0377,"말, 위기, 문화",627cdd4d7f98dd6342b32fd3,가덕도에 상괭이 등 멸종위기 종 서식…“신공항 건설 철회해야”,2022-05-09
1256,16,0.0377,"말, 위기, 문화",627cdd4d7f98dd6342b32de6,"[단독] 김성회, 다문화어린이합창단 학부모에 수천만원 소송 패소",2022-05-10
1444,16,0.0377,"말, 위기, 문화",627cdd4d7f98dd6342b32fb0,‘한식 음식문화 사절’ 한정혜 요리학원장 별세,2022-05-10
2383,16,0.037,"말, 위기, 문화",627cdd4d7f98dd6342b33828,"‘파산 위기’ 스리랑카, 반정부 시위대에 첫 발포…1명 사망",2022-04-20
2437,16,0.037,"말, 위기, 문화",627cdd4d7f98dd6342b33878,"윤석열, 육참총장 공관 입주 ‘백지화’…“비도 새고 보수할 게 많아”",2022-04-19
2001,16,0.0363,"말, 위기, 문화",627cdd4d7f98dd6342b334f2,열쇠 쥔 박병석 “여러가지 고려하고 있다”…오늘 본회의 열리나,2022-04-27
1995,16,0.0363,"말, 위기, 문화",627cdd4d7f98dd6342b334e5,“’586 괴물 됐다’는 말 가슴아파… 도망가지 않고 비판 듣겠다”,2022-04-27
1755,16,0.0363,"말, 위기, 문화",627cdd4d7f98dd6342b332b1,소수자였던 내 묘비에 이름 두개를 적어야지,2022-04-30
701,16,0.0363,"말, 위기, 문화",627cdd4d7f98dd6342b32879,"어울려 살수록 더 좋은 사회…“함께 가요, 다문화!” ",2022-04-28
31,16,0.0363,"말, 위기, 문화",627cdd4d7f98dd6342b3226e,"인천 용현-학익 2-2 블록, 2개 구역으로 나눠 개발될 듯 ",2022-04-20
525,16,0.0363,"말, 위기, 문화",627cdd4d7f98dd6342b3269b,문화 칼럼니스트가 뽑은∼ 5월에 볼만한 뮤지컬 5 ,2022-04-28
940,16,0.035,"말, 위기, 문화",627cdd4d7f98dd6342b32b13,“수행 한류 전파한다” 봉암사 옆에 둥지 튼 한국정신문화의 전당 ,2022-05-06
