Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
873,44,0.0913,"제주, 차, 병원",627cdd4d7f98dd6342b32a56,“차업체도 IT업체처럼… 팔린 차 업데이트로 새차 같이 관리” ,2022-05-04
2266,44,0.0577,"제주, 차, 병원",627cdd4d7f98dd6342b3373d,[서경식 칼럼] ‘밝은 희망’을 이야기하기보다는,2022-04-21
1317,44,0.0575,"제주, 차, 병원",627cdd4d7f98dd6342b32e79,"‘투약 오류’ 숨진 제주 12개월 영아 유족, 병원·국가 상대 손배소송",2022-05-06
2271,44,0.0566,"제주, 차, 병원",627cdd4d7f98dd6342b33742,대전·충남·세종 단체장 모두 출마선언…26일께 부터 직무대행 체제,2022-04-21
2210,44,0.0535,"제주, 차, 병원",627cdd4d7f98dd6342b336cf,"[단독]원희룡, 제주 공기업 사장들에게 700만~1000만원 정치자금 받았다",2022-04-22
2491,44,0.0534,"제주, 차, 병원",627cdd4d7f98dd6342b338bf,제주4·3 세번째 직권재심…“수형인 20명 모두 무죄”,2022-04-19
1064,44,0.0525,"제주, 차, 병원",627cdd4d7f98dd6342b32c2e,"尹대통령 부부, 국민희망대표 20명과 행진곡 맞춰 연단 입장 ",2022-05-10
2516,44,0.05,"제주, 차, 병원",627cdd4d7f98dd6342b338da,"[단독] 원희룡 제주집 지은 건설업체, 제주 최대 개발사업 참여했다",2022-04-19
923,44,0.0491,"제주, 차, 병원",627cdd4d7f98dd6342b32ae0,옛 철도병원서 열린 ‘철도이야기’ 전시회 ,2022-05-06
2648,44,0.047,"제주, 차, 병원",627cdd4d7f98dd6342b339b2,"어민이 버린 전통 돌 그물 ‘원담’, 제주 돌고래가 쓴다",2022-04-18
2286,44,0.0456,"제주, 차, 병원",627cdd4d7f98dd6342b3376a,"제주 동물보호단체, 잇단 학대사건에 “강력 수사와 처벌 없으면 재발”",2022-04-21
963,44,0.0453,"제주, 차, 병원",627cdd4d7f98dd6342b32b4a,“전통 이어온 차로 사찰 밖 세상과 소통할 것” ,2022-05-06
1938,44,0.0453,"제주, 차, 병원",627cdd4d7f98dd6342b3344f,"사법농단 임성근 무죄…대법원, ‘재판 개입’ 첫 면죄부 판결",2022-04-28
2530,44,0.0444,"제주, 차, 병원",627cdd4d7f98dd6342b338e9,웹툰·영화 등 한류 콘텐츠 해외 불법유통…인터폴 공조로 검거,2022-04-19
1126,44,0.0421,"제주, 차, 병원",627cdd4d7f98dd6342b32cc5,"민주, ‘검사는 범죄수사’ 法조항 삭제… 檢 “부실기소 무죄 속출할것” ",2022-04-16
225,44,0.0417,"제주, 차, 병원",627cdd4d7f98dd6342b323da,"제주관광公, 내달 6일까지 ‘안전여행스탬프’ 신청 받아 ",2022-04-22
1020,44,0.0414,"제주, 차, 병원",627cdd4d7f98dd6342b32bd1,스쿨존서 초등 1년생 학원차에 치여 중태 ,2022-05-09
195,44,0.0414,"제주, 차, 병원",627cdd4d7f98dd6342b3239d,안전한 누에분말로 공복혈당 관리하자 ,2022-04-19
1984,44,0.0414,"제주, 차, 병원",627cdd4d7f98dd6342b334cb,캠핑카로 개조하면 차 보험료 40% 깎아줍니다…왜?,2022-04-27
1093,44,0.0412,"제주, 차, 병원",627cdd4d7f98dd6342b32c79,“65세로 정년연장하려면 호봉제 없애고 평생교육 강화해야”[인사이드＆인사이트] ,2022-05-10
2168,44,0.0412,"제주, 차, 병원",627cdd4d7f98dd6342b3367b,"LG엔솔, 제주 풍력·태양광 REC 구매…RE100 전환 속도 높인다",2022-04-24
2347,44,0.0406,"제주, 차, 병원",627cdd4d7f98dd6342b337e4,"워니 30점·김선형 20점…SK, 18점차로 오리온에 완승",2022-04-20
