Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
1754,42,0.0933,"곳, 리그, 한국",627cdd4d7f98dd6342b332ad,"손흥민 2골, 차범근 넘어 유럽리그 18~19호 최다골",2022-05-02
1045,42,0.0741,"곳, 리그, 한국",627cdd4d7f98dd6342b32c0e,손흥민 20호 골… 유럽 5대 리그 亞선수 최초 ,2022-05-09
2744,42,0.0635,"곳, 리그, 한국",627cdd4d7f98dd6342b33a67,公기관 2곳중 1곳 작년 적자… 한전 5조8000억 최다,2022-05-11
531,42,0.0598,"곳, 리그, 한국",627cdd4d7f98dd6342b326a8,"‘트로피 수집가’ 안첼로티, 유럽 5대리그 다 채웠다 ",2022-05-02
1760,42,0.0595,"곳, 리그, 한국",627cdd4d7f98dd6342b332bd,손흥민 EPL 18·19호골…차범근 넘고 한국인 유럽 시즌 최다골,2022-05-02
1901,42,0.0577,"곳, 리그, 한국",627cdd4d7f98dd6342b333fb,2부리그가 1부리그 격침…FA컵에 ‘언더독 돌풍’이 분다,2022-04-28
1975,42,0.0577,"곳, 리그, 한국",627cdd4d7f98dd6342b334ba,"이탈리아 여자 세리에A, 오는 7월부터 프로리그로",2022-04-27
588,42,0.0577,"곳, 리그, 한국",627cdd4d7f98dd6342b3273a,소방헬기 생생… 완강기 밧줄 덜덜… ‘뻔한 곳’ 말고 ‘FUN한 곳’이 좋아![전승훈 기자의 아트로드] ,2022-04-30
1889,42,0.0576,"곳, 리그, 한국",627cdd4d7f98dd6342b333d4,‘프로스포츠 불모지’ 충북에 프로축구단 생긴다,2022-04-28
1928,42,0.0556,"곳, 리그, 한국",627cdd4d7f98dd6342b3343e,‘성별 다양성’ 적용 대상 기업 10곳 중 2곳꼴 여성이사 없어,2022-04-28
809,42,0.0546,"곳, 리그, 한국",627cdd4d7f98dd6342b32996,규제샌드박스 기업 10곳 중 9곳 “새 정부서 제도 더 활성화해야” ,2022-05-02
1364,42,0.0545,"곳, 리그, 한국",627cdd4d7f98dd6342b32ef2,임기 마친 문재인 대통령 “갈등의 골 메우고 국민 마음 모으길”,2022-05-09
360,42,0.0545,"곳, 리그, 한국",627cdd4d7f98dd6342b3251d,사회공헌으로 지역사회에 뿌리내리는 인천글로벌캠퍼스 ,2022-04-19
2606,42,0.0535,"곳, 리그, 한국",627cdd4d7f98dd6342b33960,V리그 최고 스타는 케이타·양효진…정규리그 MVP 영예,2022-04-18
2204,42,0.0526,"곳, 리그, 한국",627cdd4d7f98dd6342b336c5,"목소리 되찾은 프로야구, 오늘부터 모든 구장서 육성응원 가능",2022-04-22
1312,42,0.0503,"곳, 리그, 한국",627cdd4d7f98dd6342b32e6c,"[영상] 죽음 앞둔 아버지, 우리, 이 사회에…큰 울림 준 조현철의 수상 소감",2022-05-08
1072,42,0.0491,"곳, 리그, 한국",627cdd4d7f98dd6342b32c41,유럽 왕복항공권 80만→200만 원 껑충… 자고나면 값 뛴다 ,2022-05-10
1255,42,0.047,"곳, 리그, 한국",627cdd4d7f98dd6342b32de0,레반도프스키·벤제마·음바페와 나란히…손흥민 리그 20호골,2022-05-08
40,42,0.047,"곳, 리그, 한국",627cdd4d7f98dd6342b3227c,"움츠렸던 마음까지 활짝… 벨기에의 봄, 두 바퀴로 만끽하라 ",2022-04-21
1032,42,0.0461,"곳, 리그, 한국",627cdd4d7f98dd6342b32be9,"김지하, ‘타는 목마름으로’ 유신독재에 저항… “행동한 참여시인” ",2022-05-09
1813,42,0.0453,"곳, 리그, 한국",627cdd4d7f98dd6342b33329,한국미술 상전벽해…베네치아서 다양한 전시 펼쳐,2022-04-29
170,42,0.044,"곳, 리그, 한국",627cdd4d7f98dd6342b32375,DGIST ‘한국도서관상’ 대상 수상 ,2022-04-20
2709,42,0.0432,"곳, 리그, 한국",627cdd4d7f98dd6342b33a23,인공지능이 게임 실력 높여준다…판 커지는 ‘게임 코칭’ 시장,2022-04-17
2333,42,0.0414,"곳, 리그, 한국",627cdd4d7f98dd6342b337c4,꿀벌만 사라진 게 아니다…아예 곤충 50% 실종된 곳도,2022-04-20
2101,42,0.0414,"곳, 리그, 한국",627cdd4d7f98dd6342b335f4,"프로농구, 다시 음식과 함께 즐긴다…경기장 내 취식 허용",2022-04-25
2063,42,0.0412,"곳, 리그, 한국",627cdd4d7f98dd6342b3359c,[단독] 대구 대유행 때 ‘정호영 경북대병원’ 진료실적 10곳 중 8위,2022-04-26
2434,42,0.0412,"곳, 리그, 한국",627cdd4d7f98dd6342b33875,"수상 때마다 불거진 BTS 병역특례 논란, 이번엔 결론 낼까",2022-04-20
1606,42,0.0406,"곳, 리그, 한국",627cdd4d7f98dd6342b3313c,"NC 야구단, 코치 음주 폭행 사과…가해 코치는 계약 해지",2022-05-03
1416,42,0.0404,"곳, 리그, 한국",627cdd4d7f98dd6342b32f75,“오늘은 부처님오신날”…전국 사찰서 봉축법요식,2022-05-08
966,42,0.0404,"곳, 리그, 한국",627cdd4d7f98dd6342b32b51,"中, 코로나 확산에 9월 항저우 아시안게임 연기 ",2022-05-07
1699,42,0.0398,"곳, 리그, 한국",627cdd4d7f98dd6342b33231,"서울시, 중소기업 2500곳 ‘외상값 보험’ 지원한다",2022-05-02
640,42,0.0398,"곳, 리그, 한국",627cdd4d7f98dd6342b327bd,[임희윤 기자의 죽기전 멜로디]우리만의 리그… 음악도 널 사랑해줬어? ,2022-04-28
458,42,0.0398,"곳, 리그, 한국",627cdd4d7f98dd6342b3260a,푸틴 “번개처럼 보복할것”… 가스관 봉쇄 위협에 유럽 분열 ,2022-04-29
2013,42,0.0398,"곳, 리그, 한국",627cdd4d7f98dd6342b33511,김건희 “여기가 마음에 들어”…임장하듯 관저 결정?,2022-04-27
216,42,0.0398,"곳, 리그, 한국",627cdd4d7f98dd6342b323c5,[부동산 캘린더]‘힐스테이트세운센트럴’ 등 전국 9곳 6012채 분양 ,2022-04-19
1224,42,0.0392,"곳, 리그, 한국",627cdd4d7f98dd6342b32da1,"독재에 맞섰던 ‘투사 시인’ 김지하, 끝내 변절 오명은 벗지 못해",2022-05-08
649,42,0.0392,"곳, 리그, 한국",627cdd4d7f98dd6342b327e3,강진군 “청자골 장미 향기에 빠져보세요” ,2022-04-27
426,42,0.0391,"곳, 리그, 한국",627cdd4d7f98dd6342b325bd,佛 마크롱 재선… 美-유럽 ‘反러 연대 유지’에 안도 ,2022-04-26
411,42,0.0391,"곳, 리그, 한국",627cdd4d7f98dd6342b3259c,"푸틴 침공에 맞선 젤렌스키, 美 케네디 용기상 수상 ",2022-04-23
703,42,0.0385,"곳, 리그, 한국",627cdd4d7f98dd6342b32883,"‘K리그 온라인 중계 유료화’ 약될까, 독될까 [기자의 눈/전남혁] ",2022-04-29
2231,42,0.0385,"곳, 리그, 한국",627cdd4d7f98dd6342b336f9,“시신 9000구 층층이 매장됐다”…우크라 묘지 200곳 위성 포착,2022-04-22
576,42,0.0384,"곳, 리그, 한국",627cdd4d7f98dd6342b32716,"삼성전자, 에듀테크 사내벤처 2곳 분사 - 창업 지원 ",2022-05-02
1603,42,0.037,"곳, 리그, 한국",627cdd4d7f98dd6342b33135,"여자당구 아마추어 1위 김진아, 프로 데뷔한다",2022-05-04
1165,42,0.037,"곳, 리그, 한국",627cdd4d7f98dd6342b32d21,[유레카] 프로기사 400명 시대의 명암 / 김창금,2022-05-11
2176,42,0.0363,"곳, 리그, 한국",627cdd4d7f98dd6342b3368a,"지키는 마음, 아끼는 기억이 바로 박물관",2022-04-23
2445,42,0.0356,"곳, 리그, 한국",627cdd4d7f98dd6342b33884,‘한국 조각의 간판’이었다가 홀연 미술계에서 사라졌던 작가가…,2022-04-20
2730,42,0.035,"곳, 리그, 한국",627cdd4d7f98dd6342b33a4c,[유레카] 프로기사 400명 시대의 명암 / 김창금,2022-05-11
1214,42,0.0349,"곳, 리그, 한국",627cdd4d7f98dd6342b32d8b,"현실주의 정치인, 법과 법률가 위선을 벗겨내다",2022-05-07
2501,42,0.0349,"곳, 리그, 한국",627cdd4d7f98dd6342b338ca,"[이진순 칼럼] 내로남불, 그들만의 리그",2022-04-19
1023,42,0.0349,"곳, 리그, 한국",627cdd4d7f98dd6342b32bd8,꽃집에도 3년만에 ‘봄’이 왔네요 ,2022-05-09
527,42,0.0349,"곳, 리그, 한국",627cdd4d7f98dd6342b326a1,"[인테리어&리빙]에넥스, ‘키친팔레트’로 봄 인테리어 완성 ",2022-04-29
2340,42,0.0335,"곳, 리그, 한국",627cdd4d7f98dd6342b337d2,탁현민 “청와대 ‘유퀴즈’ 출연 요청 없었다?…CJ 거짓말 심각”,2022-04-21
1931,42,0.0327,"곳, 리그, 한국",627cdd4d7f98dd6342b33442,항저우아시안게임 9월 예정대로 열리나?,2022-04-28
2781,42,0.0305,"곳, 리그, 한국",627cdd4d7f98dd6342b33ab0,“감자 반찬 더 주세요” 못 하겠네…세 알 값으로 한 알밖에 못 산다,2022-05-11
