Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,ID,Title,Date
1529,19,0.0893,"부산, 내달, 버스",627cdd4d7f98dd6342b3306f,택시 잡기 어렵죠?…서울버스 9일부터 새벽 1시까지 운행,2022-05-05
595,19,0.0813,"부산, 내달, 버스",627cdd4d7f98dd6342b32750,"택시대란에… 서울, 밤 10시부터 ‘심야할증’ 검토 ",2022-04-27
2565,19,0.081,"부산, 내달, 버스",627cdd4d7f98dd6342b33910,전국 첫 특별지자체 ‘부산울산경남특별연합’ 출범,2022-04-19
302,19,0.0747,"부산, 내달, 버스",627cdd4d7f98dd6342b32490,"서울-경기-부산 버스 26일, 대구 27일부터 총파업 ",2022-04-23
253,19,0.0714,"부산, 내달, 버스",627cdd4d7f98dd6342b3241e,버스노조 “26일 총파업”…파업땐 서울 버스 98% 운행중단 ,2022-04-20
317,19,0.0709,"부산, 내달, 버스",627cdd4d7f98dd6342b324b1,"정호영, 대구 확진 급증때 한밤 술집서 법카 결제 ",2022-04-22
1560,19,0.07,"부산, 내달, 버스",627cdd4d7f98dd6342b330bf,야근·회식 뒤 택시 잡기 어려운데…택시회사들 “야간 운행 줄였으면”,2022-05-04
952,19,0.0687,"부산, 내달, 버스",627cdd4d7f98dd6342b32b2a,서울지하철 내달 새벽 1시 연장운행 ,2022-05-06
1922,19,0.0629,"부산, 내달, 버스",627cdd4d7f98dd6342b33435,“야간운행 줄면서 상당수 기사들 떠나”…택시 고용 타격 가장 컸다,2022-04-28
620,19,0.0624,"부산, 내달, 버스",627cdd4d7f98dd6342b32792,"서울지하철 심야연장 부활 검토, ‘택시 대란’에 자정→오전 1시 추진 ",2022-04-29
93,19,0.0598,"부산, 내달, 버스",627cdd4d7f98dd6342b322e4,"김해국제공항, 내달부터 국제선 8개 운영 ",2022-04-18
1049,19,0.0598,"부산, 내달, 버스",627cdd4d7f98dd6342b32c17,2년 만에 달리는 부산시티투어버스 ,2022-05-09
2485,19,0.0587,"부산, 내달, 버스",627cdd4d7f98dd6342b338b9,"윤석열, 대구·경북 이어 2박3일 호남·부산 순회",2022-04-19
2642,19,0.0576,"부산, 내달, 버스",627cdd4d7f98dd6342b339aa,“버스도 택시도 없어서 못탄다”…장애인이동권 지역마다 제각각,2022-04-18
205,19,0.0566,"부산, 내달, 버스",627cdd4d7f98dd6342b323a9,커피 마시며 덕수궁 밤하늘 감상… 내달 3일부터 ‘밤의 석조전’ 행사 ,2022-04-21
879,19,0.0525,"부산, 내달, 버스",627cdd4d7f98dd6342b32a65,"지자체 메타버스 박람회 10월 첫선… 세븐씨티, 8월까지 참여 신청 접수 ",2022-05-04
27,19,0.0524,"부산, 내달, 버스",627cdd4d7f98dd6342b32267,"[스포츠 단신]이병근 전 대구 감독, 수원 새 사령탑에 ",2022-04-19
1826,19,0.0494,"부산, 내달, 버스",627cdd4d7f98dd6342b33343,"엄마 닮기 싫어 반대로 행동했는데, 나도 모르게 닮아가더라",2022-05-01
1531,19,0.0482,"부산, 내달, 버스",627cdd4d7f98dd6342b33075,서울 심야 택시 대란 풀릴까?,2022-05-04
